no_rooms,sqm,yield_on_mortgage_credit_bonds%,price_usd_log,house_age,year,quarter_num,house_type_Farm,house_type_Summerhouse,house_type_Townhouse,house_type_Villa,region_Fyn & islands,region_Jutland,region_Zealand,sales_type_family_sale,sales_type_other_sale,sales_type_regular_sale,"area_Capital, Copenhagen",area_East & mid jutland,area_Fyn & islands,area_North Zealand,area_North jutland,area_Other islands,area_South jutland
5.0,66.0,4.34,12.199808063950462,51.0,2024,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
1.0,68.0,4.34,11.235206924604611,61.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,84.0,4.34,12.43495370581573,25.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
8.0,160.0,4.34,13.997832948091215,148.0,2024,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,149.0,4.34,11.967187086434018,52.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,108.0,4.34,13.12735290896314,20.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3.0,80.0,4.34,11.097425172408931,64.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,104.0,4.34,12.388398368982115,65.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
7.0,177.0,4.34,12.77280873810987,62.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,146.0,4.34,12.749126321452332,48.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,141.0,4.34,10.627430633893226,113.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
1.0,48.0,4.34,12.449022745701502,68.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
1.0,30.0,4.34,11.893079602677565,86.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,130.0,4.34,11.119897691565697,34.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,73.0,4.34,12.337105293891872,21.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,95.0,4.34,13.304686600863562,110.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
4.0,120.0,4.34,12.804224846604955,3.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,85.0,4.34,11.695255355062795,195.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,130.0,4.34,12.053801032483948,52.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
6.0,152.0,4.34,11.320565693461432,83.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,67.0,4.34,11.813037464800539,54.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,95.0,4.34,12.609037965102189,24.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,97.0,4.34,12.850557278777309,114.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
5.0,158.0,4.34,12.446077247039748,39.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,37.0,4.34,11.56884255312859,73.0,2024,3,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
4.0,114.0,4.34,11.813037464800539,49.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3.0,70.0,4.34,11.835016210489899,49.0,2024,3,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
2.0,80.0,4.34,11.918397239722838,72.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
6.0,185.0,4.34,12.586223364451623,125.0,2024,3,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
5.0,111.0,4.34,12.096542337246863,103.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,76.0,4.34,12.108024220150982,45.0,2024,3,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
4.0,105.0,4.34,12.95690129755602,105.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3.0,80.0,4.34,11.320565693461432,128.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,129.0,4.34,13.303435821047845,22.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,89.0,4.34,12.372650078151263,36.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
7.0,216.0,4.34,12.533579815765737,40.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,134.0,4.34,12.141539457711714,43.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
6.0,180.0,4.34,12.218500103788143,53.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,94.0,4.34,12.449022745701502,113.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,138.0,4.34,11.813037464800539,67.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,46.0,4.34,11.575909653758895,41.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,130.0,4.34,11.695255355062795,53.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,124.0,4.34,12.388398368982115,47.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
7.0,166.0,4.34,12.449022745701502,48.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
3.0,74.0,4.34,11.813037464800539,42.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,125.0,4.34,13.285758622825123,45.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,95.0,4.34,11.225256725762893,72.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
4.0,94.0,4.34,11.643962499267984,45.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,66.0,4.34,12.547002788050001,25.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,74.0,4.34,11.847975261832087,39.0,2024,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
3.0,77.0,4.34,12.71815048494679,62.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
2.0,81.0,4.34,11.719947764402807,64.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,84.0,4.34,13.359411411795556,8.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
6.0,190.0,4.34,12.320521239219907,66.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
2.0,76.0,4.34,13.465954500233115,81.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
